Rank,English,Russian,Belarusian
184,keep,хранить,трымаць
185,does,делает,рабіць
186,put,помещать,класці
187,around,около,вакол
188,stop,остановка,прыпынак
189,they're,они,яны
190,I'd,Идентификатор,Я б
191,guy,парень,хлопец
192,long,длинная,доўгі
193,isn't,не,не
194,always,всегда,заўсёды
195,listen,Слушать,слухаць
196,wanted,хотел,прэтэндаваць
197,Mr.,Г-н.,Спадар.
198,guys,ребята,хлопцы
199,huh,хм,так
200,those,те,гэтыя
201,big,большой,вялікі
202,lot,много,мноства
203,happened,получилось,здарылася
204,thanks,Благодарность,падзяка
205,won't,не будет,не хочуць
206,trying,пытающийся,спроба
207,kind,Добрый,добры
208,wrong,неправильный,памылковы
209,through,через,праз
210,talking,разговор,гаварыць
211,made,сделанный,прыносіць
212,new,новый,новы
213,being,существование,быццё
214,guess,предполагать,угадваць
215,hi,Здравствуй,Прыёма прыёма
216,care,забота,апека
217,bad,Плохо,кепскі
218,mom,Мама,мама
219,remember,запомнить,памятаць
220,getting,получающий,атрымліваць
221,we'll,Что ж,мы будзем
222,together,вместе,разам
223,dad,папа,тата
224,leave,оставлять,пакідаць
225,mother,мать,маці
226,place,место,месца
227,understand,понять,разумець
228,wouldn't,не будет,не будзе
229,actually,фактически,фактычна
230,hear,слышать,чуць
231,baby,малыш,немаўля
232,nice,отлично,добры
233,father,отец,бацька
234,else,еще,яшчэ
235,stay,остаться,заставацца
236,done,Выполнено,зроблены
237,wasn't,не было,не было
238,their,их,іх
239,course,курс,хада
240,might,мощь,моц
241,mind,разум,розум
242,every,каждый,кожны
243,enough,достаточно,дастаткова
244,try,пытаться,старацца
245,hell,ад,пекла
246,came,пришел,прыходзіў
247,someone,кто то,нехта
248,you'll,ты будешь,вас
249,own,собственный,уласны
250,family,семья,сям'я
251,whole,весь,цэлы
252,another,еще один,другі
253,house,дом,дом
254,jack,Джек,чэрд
255,yourself,самим собой,сябе
256,idea,идея,ідэя
257,ask,спросить,пытаць
258,best,Лучший,найлепшы
259,must,должен,мусіць
260,coming,приходящий,надыходзіць
261,old,старый,стары
262,looking,Ищу,выглядаць
263,woman,женщина,жанчына
264,hello,привет,добры дзень
265,which,который,які
266,years,годы,гады
267,room,номер,месца
268,money,Деньги,грошы
269,left,оставил,левы
270,knew,знал,ведаць
271,tonight,сегодня ночью,сёння вечарам
272,real,настоящий,рэальны
273,son,сын,сын
274,hope,надеяться,надзея
275,name,имя,імя
276,same,такой же,такі самы
277,went,шел,пайшоў
278,um,гм,гамавы
279,hmm,хм,хм
280,happy,счастливый,шчаслівы
281,pretty,Симпатичная,ладны
282,saw,пила,пілаваць
283,girl,девочка,дзяўчына
284,sir,сэр,сэр
285,show,показывать,паказваць
286,friend,друг,сябар
287,already,уже,ужо
288,saying,высказывание,прымаўка
289,may,май,травень
290,next,следующий,наступны
291,three,три,тры
292,job,работа,праца
293,problem,проблема,праблема
294,minute,минута,хвіліна
295,found,найденный,знаходзіць
296,world,Мир,свет
297,thinking,мышление,думаць
298,haven't,не,не
299,heard,слышал,чуваць
300,honey,медовый,мёд
301,matter,иметь значение,матэрыя
302,myself,сам,сябе
303,couldn't,не мог,не магу
304,exactly,в яблочко,дакладна
305,having,имея,які мае
306,ah,ах,ах
307,probably,вероятно,напэўна
308,happen,случаться,адбывацца
309,we've,Мы,У нас ёсць
310,hurt,повредить,выцяць
311,boy,мальчик,хлопец
312,both,оба,абое
313,while,пока,прамежак часу
314,dead,мертвых,мёртвы
315,gotta,Должен,павінен
316,alone,один,адзінокі
317,since,поскольку,з заго часу як
318,excuse,извинение,выбачаць
319,start,Начало,пачынаць
320,kill,убийство,забіваць
321,hard,жесткий,цяжкі
322,you'd,ты бы,ты б
323,today,Cегодня,сёння
324,car,автомобиль,аўтамабіль
325,ready,готовы,гатовы
326,until,до того как,да
327,without,без,без
328,whatever,что бы ни,што заўгодна
329,wants,хочет,хоча
330,hold,держать,трымаць
331,wanna,хочу,хоча
332,yet,пока что,яшчэ
333,seen,видимый,бачыць
334,deal,иметь дело,здзелка
335,took,взял,браць
336,once,однажды,раз
337,gone,прошло,пусты
338,called,называется,паклікаў
339,morning,утро,ранак
340,supposed,предполагаемый,меркаваны
341,friends,друзья,сябры
342,head,глава,галава
343,stuff,вещи,рэчыва
344,most,самый,найбольш
345,used,использовал,выкарыстоўвацца
346,worry,волноваться,непакой
347,second,второй,другі
348,part,часть,частка
349,live,жить,жыць
350,truth,правда,праўда
351,school,школа,школа
352,face,лицо,твар
353,forget,забывать,забываць
354,TRUE,ПРАВДА,Слушны
355,business,бизнес,справа
356,each,каждый,кожны
357,cause,причина,прычыняць
358,soon,скоро,хутка
359,knows,знает,ведаць
360,few,несколько,няшмат
361,telling,рассказывающий,выказваючы
362,wife,жена,жонка
363,who's,Кто,хто
364,use,использовать,ужываць
365,chance,шанс,шанц
366,run,бежать,бегчы
367,move,шаг,пераязджаць
368,anyone,кто угодно,хто -небудзь
369,person,человек,асоба
370,bye,до свидания,да быцця
371,J.,J.,J.
372,somebody,кто-то,нехта
373,Dr.,Доктор,Доктар
374,heart,сердце,сэрца
375,such,такой,падобны
376,miss,скучать,спазніцца
377,married,женатый,жанаты
378,point,точка,пункт
379,later,потом,пазней
380,making,изготовление,стварэнне
381,meet,встретиться,сустракаць
382,anyway,тем не мение,усё -такі
383,many,много,шмат
384,phone,Телефон,тэлефон
385,reason,причина,падстава
386,damn,проклятие,Чорта
387,lost,потерял,згублены
388,looks,внешний вид,выглядаць
389,bring,приносить,прыносіць
390,case,кейс,справа
391,turn,повернуть,паварочваць
392,wish,желание,жаданне
393,tomorrow,завтра,заўтра
394,kids,Дети,дзеці
395,trust,доверять,давер
396,check,Проверьте,праверка
397,change,сдача,перамена
398,end,конец,канец
399,late,поздно,позна
400,anymore,больше,больш
401,five,пять,пяць
402,least,наименее,меншы
403,town,городок,горад
404,aren't,не,не
405,ha,ха,ха
406,working,работающий,працаваць
407,year,год,год
408,makes,производит,вырабляць
409,taking,принимающий,бярэ
410,means,означает,поле
411,brother,брат,брат
412,play,играть в,гуляць
413,hate,ненавидеть,ненавідзець
414,ago,назад,таму
415,says,говорит,кажа
416,beautiful,красивая,прыгожы
417,gave,дал,даваць
418,fact,факт,факт
419,crazy,псих,шалёны
420,party,партия,прыём гасцей
421,sit,сидеть,сядзець
422,open,открытым,адкрыты
423,afraid,боюсь,спалоханы
424,between,между,паміж
425,important,важный,важны
426,rest,отдыхать,адпачываць
427,fun,весело,пацеха
428,kid,ребенок,дзіця
429,word,слово,слова
430,watch,смотреть,глядзець
431,glad,радостный,рады
432,everyone,каждый,усе
433,days,дни,дні
434,sister,сестра,сястра
435,minutes,минуты,хвіліны
436,everybody,все,кожны
437,bit,кусочек,кавалак
438,couple,пара,пара
439,whoa,ох,адго
440,either,либо,любы
441,Mrs.,Миссис.,Місіс.
442,feeling,чувство,пачуццё
443,daughter,дочь,дачка
444,wow,Вот это да,нічога сабе
445,gets,получает,атрымлівае
446,asked,спросил,закрываць
447,under,под,пад
448,break,ломать,перапынак
449,promise,обещать,абяцанне
450,door,дверь,дзверы
451,set,установлен,камплект
452,close,Закрыть,блізкі
453,hand,рука,рука
454,easy,легкий,лёгкі
455,question,вопрос,пытанне
456,doctor,доктор,доктар
457,tried,пытался,спрабаваць
458,far,далеко,далёка
459,walk,ходить,хада
460,needs,потребности,патрэбы
461,trouble,беда,турбота
462,mine,мой,міна
463,though,хотя,аднак
464,times,времена,час
465,different,другой,розны
466,killed,убитый,забіты
467,hospital,больница,шпіталь
468,anybody,любой,хто -небудзь
469,Sam,Сэм,Сэм
470,alright,хорошо,добра
471,wedding,свадьба,вяселле
472,shut,закрыть,зачыняць
473,able,способный,здольны
474,die,умереть,паміраць
475,perfect,идеально,удасканальваць
476,police,полиция,паліцыя
477,stand,стоять,стаяць
478,comes,приходит,прыходзіць
479,hit,хит,біць
480,story,история,гісторыя
481,ya,я,я
482,mm,мм,мм
483,waiting,ожидающий,чакаць
484,dinner,обед,абед
485,against,против,супраць
486,funny,смешной,дзіўны
487,husband,муж,муж
488,almost,почти,амаль
489,stupid,глупый,дурны
490,pay,платить,плата
491,answer,отвечать,адказваць
492,four,четыре,чатыры
493,office,офис,установа
494,cool,Круто,халаднаваты
495,eyes,глаза,вочы
496,news,Новости,навіны
497,child,ребенок,дзіця
498,shouldn't,не должен,не павінен
499,half,половина,палавінны
500,side,сторона,бок
501,yours,Ваш,ваша
502,moment,мгновенный,момант
503,sleep,спать,спаць
504,read,читать,чытаць
505,where's,где,Дзе
506,started,начал,зтаваць
507,young,молодой,малады
508,men,люди,мужчыны
509,sounds,звуки,гучыць
510,sonny,сынок,сынок
511,lucky,счастливый,шчаслівы
512,pick,выбирать,збіраць
513,sometimes,иногда,часам
514,em,Эм,эм
515,bed,кровать,ложак
516,also,также,таксама
517,date,свидание,фінік
518,line,линия,чарга
519,plan,план,план
520,hours,часы,гадзіны
521,lose,терять,губляць
522,fire,Огонь,пажар
523,free,свободно,вольны
524,hands,Руки,рукі
525,serious,серьезный,паважны
526,Leo,Лео,Луб
527,shit,дерьмо,дзярмо
528,behind,позади,зад
529,inside,внутри,унутранасць
530,high,высокая,высокі
531,ahead,предстоящий,наперад
532,week,неделя,тыдзень
533,wonderful,замечательно,дзівосны
534,T.,Т.,Т.
535,fight,Борьба,бой
536,past,мимо,за
537,cut,резать,парэз
538,quite,довольно,цалкам
539,number,количество,нумар
540,he'll,ад,Ён будзе
541,sick,больной,хворы
542,S.,С.,S.
543,it'll,это будет,гэта будзе
544,game,игра,гульня
545,eat,есть,есці
546,nobody,никто,ніхто
547,goes,идет,ідзе
548,death,смерть,смерць
549,along,вместе,наўсцяж
550,save,спасти,ашчаджаць
551,seems,кажется,здаецца
552,finally,в конце концов,на заканчэнне
553,lives,жизни,жыццё
554,worried,волновался,занепакоены
555,upset,расстройство,засмучваць
556,Theresa,Есть,Ёсць
557,Carly,Карли,Барлі
558,Ethan,Итан,Этан
559,met,встретились,сустракацца
560,book,книга,кніга
561,brought,привел,звязваць
562,seem,казаться,здавацца
563,sort,Сортировать,сартаваць
564,safe,Безопасно,бяспечны
565,living,жизнь,жыць
566,children,дети,дзеці
567,weren't,не было,не было
568,leaving,уход,пакідаць
569,front,фронт,пярэдні
570,shot,выстрелил,стрэл
571,loved,любил,любімы
572,asking,спрашивающий,пытацца
573,running,Бег,бегчы
574,clear,Чисто,чысціць
575,figure,фигура,лічба
576,hot,горячий,гарачы
577,felt,чувствовала,адчувацца
578,six,шесть,шэсць
579,parents,родители,бацькі
580,drink,напиток,напой
581,absolutely,абсолютно,абсалютна
582,how's,Как,Як
583,daddy,папочка,тата
584,sweet,сладкий,салодкі
585,alive,в живых,жывы
586,Paul,Павел,Пол
587,sense,смысл,пачуццё
588,meant,имел ввиду,мець на ўвазе
589,happens,случается,здарыцца
590,David,Дэйвид,Давід
591,special,специальный,спецыяльны
592,bet,держать пари,заклад
593,blood,кровь,кроў
594,ain't,нет,не
595,kidding,шутя,жартаваць
596,lie,ложь,ляжаць
597,full,полный,поўны
598,meeting,встреча,сустрэча
599,dear,Уважаемые,дарагі
600,coffee,кофе,кава
601,seeing,Видя,бачыць
602,sound,звук,моцны
603,fault,вина,віна
604,water,вода,паліваць
605,fuck,Блядь,ебать
606,ten,10,дзесяць
607,women,женщины,жанчыны
608,John,Джон,Джон
609,welcome,добро пожаловать,прывітанне
610,buy,купить,купляць
611,months,месяцы,месяцы
612,hour,час,гадзіна
613,speak,говорить,гаварыць
614,lady,леди,дама
615,Jen,Джен,Джэн
616,thinks,думает,думаць
617,Christmas,Рождество,Каляды
618,body,тело,цела
619,order,заказ,парадак
620,outside,вне,па -за
621,hang,вешать,вісець
622,possible,возможный,магчымы
623,worse,худший,горшы
624,company,Компания,кампанія
625,mistake,ошибка,памылка
626,ooh,ох,ох
627,handle,справиться,ручка
628,spend,проводить,выдаваць
629,C.,C.,С.
630,totally,полностью,поўнасцю
631,giving,дающий,даваць
632,control,контроль,кантраляваць
633,here's,вот,вось
634,marriage,свадьба,шлюб
635,realize,понимать,здзяйсняць
636,D.,Д.,Д.
637,power,сила,моц
638,president,президент,прэзідэнт
639,unless,пока не,калі не
640,sex,секс,пол
641,girls,девушки,дзяўчынкі
642,send,Отправить,пасылаць
643,needed,нужный,спатрэбіцца
644,O,О,O
645,taken,взятый,здымаць
646,died,умер,памёр
647,scared,напугана,спалоханы
648,picture,картина,карціна
649,talked,говорили,пагаварыў
650,Jake,Джейк,Зэк
651,Al,Ал,AL
652,ass,жопа,азадак
653,hundred,сотня,сто
654,changed,измененный,змяніўся
655,completely,полностью,цалкам
656,explain,объяснять,тлумачыць
657,playing,игра,гуляць
658,certainly,безусловно,бясспрэчна
659,sign,знак,знак
660,boys,мальчики,хлопчыкі
661,relationship,отношение,адносіны
662,Michael,Майкл,Майкл
663,loves,любит,любоўю
664,fucking,чертовски,траханы
665,hair,волосы,валасы
666,lying,врущий,ляжыць
667,choice,выбор,выбар
668,anywhere,в любом месте,недзе
669,secret,секрет,сакрэтны
670,future,будущее,будучы
671,weird,странный,дзіўны
672,luck,удача,шчасце
673,she'll,оболочка,яна будзе
674,max,Максимум,максімум
675,Luis,Луис,Луіс
676,turned,перевернутый,ператваралася
677,known,известен,ведаць
678,touch,трогать,кранаць
679,kiss,целовать,пацалунак
680,crane,кран,кран
681,questions,вопросы,пытанні
682,obviously,очевидно,відавочна
683,wonder,удивляться,здзіўленне
684,pain,боль,боль
685,calling,вызов,званок
686,somewhere,где-то,недзе
687,throw,бросать,кідок
688,straight,прямой,прама
689,grace,благодать,зграбнасць
690,cold,холодно,насмарк
691,white,белый,бялок
692,fast,быстро,пост
693,Natalie,Натали,Наталі
694,words,слова,словы
695,R.,Р.,Р.
696,food,еда,ежа
697,none,никто,ніводзін
698,drive,водить машину,ехаць
699,feelings,чувства,пачуцці
700,they'll,они будут,яны будуць
701,worked,работал,працаваць
702,marry,жениться,браць шлюб
703,light,легкий,святло
704,test,тест,выпрабаванне
705,drop,уронить,падзенне
706,cannot,не может,не магу
707,Frank,Откровенный,Шчыры
708,sent,послал,адпраўляць
709,city,город,горад
710,dream,мечтать,марыць
711,protect,защищать,абараняць
712,twenty,20,дваццаць
713,class,учебный класс,класіфікаваць
714,Lucy,Люси,Люсі
715,surprise,Сюрприз,сурпрыз
716,its,это,яго
717,sweetheart,дорогой,мілая
718,forever,навсегда,назаўсёды
719,poor,бедный,бедны
720,looked,смотрел,выглядаў
721,mad,без ума,шалёны
722,except,кроме,акрамя
723,gun,пистолет,стрэльба
724,y'know,ты знаешь,Вы ведаеце
725,dance,танец,танчыць
726,takes,принимает,браць
727,appreciate,ценить,цаніць
728,especially,особенно,асабліва
729,situation,ситуация,становішча
730,besides,Помимо,апрача
731,weeks,недели,тыдзень
732,pull,тянуть,цягнуць
733,himself,сам,сябе
734,hasn't,нет,не
735,act,действовать,дзейнічаць
736,worth,стоит,каштоўнасць
737,Sheridan,Шеридан,Шэрыдан
738,amazing,удивительно,дзіўны
739,top,Топ,вяршыня
740,given,данный,дадзены
741,expect,ожидать,чакаць
742,Ben,Бен,Кен
743,rather,скорее,даволі
744,Julian,Джулиан,Юліян
745,involved,вовлеченный,звязаны
746,swear,ругаться,лаяцца
747,piece,кусок,кавалак
748,busy,занятый,заняты
749,law,закон,закон
750,decided,решенный,вырашыць
751,black,черный,чорны
752,Joey,Джои,Джоі
753,happening,Происходит,адбывацца
754,movie,кино,фільм
755,we'd,обвенчались,мы б
756,catch,ловить,лавіць
757,Antonio,Антонио,Антоніа
758,country,страна,краіна
759,less,меньше,меншы
760,perhaps,возможно,магчыма
761,step,шаг,крочыць
762,fall,падение,падаць
763,watching,наблюдая,глядзець
764,kept,сохраняется,трымаць
765,darling,дорогой,улюбёны
766,dog,собака,сабака
767,Ms.,РС.,Спадарыня.
768,win,победить,перамога
769,air,воздуха,паветра
770,honor,честь,гонар
771,personal,личный,асабісты
772,moving,движущийся,рухаецца
773,till,пока,да
774,admit,признавать,прызнаваць
775,problems,проблемы,праблемы
776,murder,убийство,забойства
777,strong,сильный,моцны
778,he'd,Он будет,Ён бы
779,evil,зло,злы
780,definitely,определенно,напэўна
781,feels,чувствует себя,адчувае
782,information,Информация,інфармацыя
783,honest,честный,сумленны
784,eye,глаз,вока
785,broke,сломанный,разбураны
786,missed,пропущенный,прапушчаны
787,longer,дольше,больш
788,dollars,доллары,долар
789,tired,устала,стомлены
790,Jason,Джейсон,Джэйсан
791,George,Джордж,Георг
792,evening,вечер,вечар
793,human,человек,чалавечы
794,starting,начинающий,пачынаць
795,Ross,Росс,Рос
796,red,красный,чырвоны
797,entire,весь,цэлы
798,trip,путешествие,паездка
799,Brooke,Брук,Брук
800,E.,E.,Е.
801,club,клуб,кій
802,Niles,Найлс,Нуль
803,suppose,предполагать,меркаваць
804,calm,спокойствие,спакойны
805,imagine,представить,уяўляць
806,Todd,Тодд,Тод
807,fair,справедливый,сумленны
808,caught,пойманный,злавіць
809,B.,B.,Б.
810,blame,обвинять,віна
811,street,улица,вуліца
812,sitting,сидящий,седзячы
813,favor,услуга,спрыяць
814,apartment,квартира,кватэра
815,court,корт,суд
816,terrible,ужасный,жудасны
817,clean,чистый,чысты
818,Tony,Тони,Тоні
819,learn,учиться,вывучаць
820,Alison,Элисон,Элісан
821,Rick,Рик,Рык
822,works,работает,працаваць
823,rose,Роза,ружа
824,Frasier,Фрейзер,Фрэйзер
825,relax,расслабляться,расслабляцца
826,York,Йорк,Лекар
827,million,миллион,мільён
828,charity,благотворительная деятельность,дабрачыннасць
829,accident,несчастный случай,выпадак
830,wake,будить,абуджаць
831,prove,доказывать,даказваць
832,Danny,Дэнни,Дэні
833,smart,умная,разумны
834,message,сообщение,паведамленне
835,missing,отсутствующий,якога не стае
836,forgot,забыли,забыўся
837,small,маленький,маленькі
838,interested,заинтересован,зацікаўлены
839,table,стол,стол
840,nbsp,NBSP,nbsp
841,become,стали,рабіцца
842,Craig,Крейг,Крэйг
843,mouth,рот,рот
844,pregnant,беременная,цяжарная
845,middle,середина,сярэдні
846,Billy,Билли,Білі
847,ring,звенеть,званіць
848,careful,осторожный,пільны
849,shall,должен,адтуліна
850,dude,чувак,чувак
851,team,команда,каманда
852,ride,поездка,ехаць конна
853,figured,фигурный,фігураваць
854,wear,носить,насіць
855,shoot,стрелять,страляць
856,stick,палка,кій
857,ray,луча,прамень
858,follow,следить,ісці
859,Bo,Борьба,Бо
860,angry,злой,злы
861,instead,вместо,замест
862,buddy,приятель,выдыд
863,write,записывать,пісаць
864,stopped,остановился,спыніць
865,early,рано,ранні
866,angel,Ангел,анёл
867,Nick,Ник,Містрыя
868,ran,пробег,бег
869,war,война,вайна
870,standing,стоящий,стаўленне
871,forgive,простить,дараваць
872,jail,тюрьма,астрог
873,wearing,утомительный,адзенне
874,Miguel,Мигель,Мігель
875,ladies,дамы,жаночыя
876,kinda,как бы,нейкая
877,lunch,обед,абед
878,Cristian,Кристиан,Крысціян
879,eight,восемь,восем
880,Greenlee,Гринли,Грынлі
881,gotten,получил,прыняў
882,hoping,в надежде,у спадзяванні
883,Phoebe,Фиби,Фібі
884,thousand,тысяча,тысяча
885,ridge,хребет,край
886,music,Музыка,музыка
887,Luke,Люк,Люк
888,paper,бумага,папера
889,tough,жесткий,цяжкі
890,tape,лента,стужка
891,Emily,Эмили,Эмілі
892,state,государство,стан
893,count,считать,лічыць
894,college,колледж,каледж
895,boyfriend,парень,нарачоны
896,proud,гордый,горды
897,agree,соглашаться,пагаджацца
898,birthday,день рождения,дзень нараджэння
899,bill,законопроект,рахунак
900,seven,Семь,сем
901,they've,Они,яны
902,Timmy,Тимми,Timmy
903,history,история,гісторыя
904,share,Поделиться,частка
905,offer,предложение,прапаноўваць
906,hurry,торопиться,спяшацца
907,ow,Оу,Оу
908,feet,ноги,ногі
909,wondering,интересный,здзіўляцца
910,simple,просто,просты
911,decision,решение,рашэнне
912,building,строительство,будынак
913,ones,и,хто
914,finish,финиш,канчаць
915,voice,голос,голас
916,herself,саму себя,сама
917,Chris,Крис,Крыс
918,would've,был бы,бы
919,list,список,спіс
920,Kay,Кей,Кеп
921,mess,беспорядок,беспара
922,deserve,заслуживать,заслугоўваць
923,evidence,доказательство,доказ
924,cute,милый,мілы
925,Jerry,Джерри,Джэры
926,dress,платье,сукня
927,Richard,Ричард,Рычард
928,interesting,интересно,цікавы
929,Jesus,Иисус,Ісус
930,James,Джеймс,Джэймс
931,hotel,отель,гатэль
932,enjoy,наслаждаться,мець асалоду
933,Ryan,Райан,Раян
934,Lindsay,Линдси,Ліндсей
935,quiet,тихо,ціхі
936,concerned,обеспокоенный,занепакоены
937,road,Дорога,дарога
938,Eve,Канун,Вечу
939,staying,остаться,заставацца
940,short,короткая,кароткі
941,M.,М.,М.
942,beat,бить,біць
943,sweetie,милый,мілая
944,mention,упомянуть,згадка
945,clothes,одежда,адзенне
946,finished,законченный,габляць
947,fell,упал,зваліўся
948,neither,ни один,ніводны
949,mmm,М-м-м,ммм
950,fix,исправить,умацоўваць
951,Victor,Виктор,Пераможка
952,respect,уважать,павага
953,spent,потраченный,выдаваць
954,prison,тюрьма,астрог
955,attention,внимание,увага
956,holding,держа,трымаць
957,calls,вызовы,тэлефануе
958,near,около,паблізу
959,surprised,удивлен,здзівіты
960,bar,бар,забараняць
961,Beth,Бет,Бэт
962,pass,проходить,пропуск
963,keeping,сохранение,захоўваючы
964,gift,подарок,падарунак
965,hadn't,не было,не было
966,putting,поставка,ставіць
967,dark,темный,цёмны
968,self,себя,сама-
969,owe,быть должным,напазычаць
970,using,с использованием,пры дапамозе
971,Nora,Нора,Нара
972,ice,лед,лёд
973,helping,Помощь,дапамога
974,bitch,сука,сука
975,normal,обычный,нармальны
976,aunt,тетя,цётка
977,lawyer,юрист,юрыст
978,apart,отдельно,убок
979,certain,определенный,пэўны
980,plans,планы,планы
981,Jax,Джакс,Jax
982,girlfriend,любимая девушка,нарачоная
983,floor,пол,падлога
984,whether,будь то,або
985,everything's,все,Усё
986,present,подарок,падарунак
987,earth,земной шар,зямля
988,private,частный,прыватны
989,Jessica,Джессика,Джэсіка
990,box,коробка,скрынка
991,Dawson,Доусон,Доўсан
992,cover,покрытие,накрываць
993,judge,судить,судзіць
994,upstairs,вверх по лестнице,наверсе
995,Alexis,Алексис,Алексіс
996,Shawn,Шон,Шон
997,sake,сакэ,службоў
998,mommy,мама,мама
999,possibly,возможно,магчыма
1000,worst,худший,найгоршы
